表名,字段1,字段2,字段3,字段4,字段5,字段6
总体完成情况,范围,模块数,移植,混合精度,说明,
总体完成情况,Filtering,38,100%,100%,含4个GPU→CPU等价,
总体完成情况,Registration,5（主线3+等价）,100%,100%,Metricsv4等实测,
总体完成情况,Segmentation,12,100%,100%,Otsu实测其余代表值,
总体完成情况,合计（结项主线）,约55,100%,100%,默认模块编译通过；Example 273个,
加速比与误差统计,统计口径,模块/样本数,最差加速比,最好加速比,中位数,典型误差(max_abs)
加速比与误差统计,Filtering有加速比条目（去基类/GPU重复32项）,32,0.96×（Convolution小图）,~2.07×（Smoothing/RecursiveGaussian）,1.15×,多数0；卷积类~1e-5–8e-6
加速比与误差统计,直接实测算子（pipeline/conv/diffusion/registration）,19,0.96×,2.07×,1.07×,见需关注模块
加速比与误差统计,配准主线,2实测+1代表,1.15×（PDE代表）,1.36×（Metricsv4）,1.36×,Δ平移<0.003mm
加速比与误差统计,分割,Otsu实测+其余代表,~1.10×,1.33×（Otsu）,~1.20×,Otsu 0；LevelSets需迭代验收
加速比与误差统计,全库主线综合（Filtering+配准+分割代表）,~37,0.96×,2.07×,1.15×,除CAD外普遍可接受
误差分档,误差等级,典型max_abs,模块/算子,,,
误差分档,无损/可忽略,0,RecursiveGaussian、Median、Otsu、Bilateral（开关ON）、多数应用层代表,,,
误差分档,数值可忽略,~1e-5–8e-6,Mean、DiscreteGaussian（大图）、Convolution/FFT,,,
误差分档,需业务验收,CAD~20；GAD~2.5e-4,AnisotropicSmoothing/CurvatureFlow类迭代扩散,,,
优化收益分档,分档,加速比区间,模块/算子,用户建议,,
优化收益分档,高收益,1.3–2.1×,Smoothing（RecursiveGaussian 2.07×）、Median链1.36×、形态学1.36×、配准Metricsv4 1.36×、Denoising/Otsu~1.3×,优先Image<float>；滤波优先RecursiveGaussian,,
优化收益分档,中等收益,1.1–1.3×,Thresholding、ImageGradient/Intensity、BiasCorrection、多数代表值模块,默认float即可,,
优化收益分档,弱加速/内存型,1.0–1.07×,Bilateral、Mean/BoxMean、大图DiscreteGaussian、Resample,算力收益小省一半内存仍值得,,
优化收益分档,接近持平或略慢,0.96–1.04×,Convolution小图、FFT、CAD/GAD,勿期望算力加速；CAD要验精度,,
需关注模块,模块/算子,原因,调用注意,,,
需关注模块,Smoothing/SmoothingRecursiveGaussian,收益最大（~2×）、误差0,滤波首选；Image<float>,,,
需关注模块,Registration/Metricsv4,1.36×，Δ平移<0.003mm,float图+double度量/优化器勿整链改float,,,
需关注模块,AnisotropicSmoothing（CAD）,加速仅~1.04×，max_abs~20,必须做精度/视觉验收；线程建议16–32勿盲目96核,,,
需关注模块,CurvatureFlow/有限差分迭代,同扩散类误差需验收,生产前任务级验收,,,
需关注模块,ImageFeature/Bilateral,加速~1.01×误差0,大图主收益是内存；多核扫频收益明显,,,
需关注模块,Convolution/FFT,最差约0.96×,小图可能略慢大图约1.0×别为加速硬改精度,,,
需关注模块,Thresholding/Otsu,1.29–1.33×误差0,分割阈值类可放心float,,,
需关注模块,CMake开关ITK_USE_FLOAT_ACCUMULATION_FOR_FLOAT_PIXELS,控制Mean/DiscreteGaussian/Bilateral/扩散等内部累加,交付默认ON；对比upstream时设OFF重编,,,
需关注模块,GPU*模块,鲲鹏CPU无OpenCL/CUDA,请用对应CPU模块（Smoothing等）,,,
结论摘要,结论,全库主线约55个模块移植与混合精度均已完成；综合加速比约0.96–2.07×中位数约1.15×；多数误差为0或1e-5量级。调用优先Image<float>+RecursiveGaussian/配准float存double算；CAD/迭代扩散单独精度验收；卷积/FFT/Bilateral以内存与稳定性为目标。,,,,

表名,序号,模块,移植状态,移植验证,混合精度方式,代表算子/测试,加速比,最差加速比,最好加速比,max_abs误差,数据性质,调用注意
Filtering子模块明细,23,ImageFrequency,完成,默认模块编译,应用层,频域(FFT代表B),1.00×,1.00,1.00,~8e-6,代表值,接近持平
Filtering子模块明细,24,ImageFusion,完成,默认模块编译,应用层,融合(A代表),1.20×,1.20,1.20,0,代表值,默认Image<float>
Filtering子模块明细,25,ImageGradient,完成,默认模块编译,应用层,梯度(A代表),1.25×,1.25,1.25,0,代表值,推荐float
Filtering子模块明细,26,ImageGrid,完成,Resample Example+扫频,应用层,Resample(D扫频),~1.0×,1.00,1.00,0,直接实测,接近持平
Filtering子模块明细,27,ImageIntensity,完成,默认模块编译,应用层,强度运算(A代表),1.25×,1.25,1.25,0,代表值,推荐float
Filtering子模块明细,28,ImageLabel,完成,默认模块编译,应用层,标签图float(A代表),1.10×,1.10,1.10,0,代表值,默认Image<float>
Filtering子模块明细,29,ImageNoise,完成,默认模块编译,应用层,噪声(A代表),1.15×,1.15,1.15,0,代表值,默认Image<float>
Filtering子模块明细,30,ImageSources,完成,默认模块编译,应用层,生成源(A代表),1.10×,1.10,1.10,0,代表值,默认Image<float>
Filtering子模块明细,31,ImageStatistics,完成,默认模块编译,应用层,统计(A代表),1.20×,1.20,1.20,0,代表值,默认Image<float>
Filtering子模块明细,32,LabelMap,完成,默认模块编译,应用层,标签图(A代表),1.15×,1.15,1.15,0,代表值,默认Image<float>
Filtering子模块明细,33,MathematicalMorphology,完成,默认模块编译,应用层,形态学(Median A),1.36×,1.36,1.36,0,实测同类,高收益推荐float
Filtering子模块明细,34,Path,完成,默认模块编译,应用层,轮廓(A代表),1.15×,1.15,1.15,0,代表值,默认Image<float>
Filtering子模块明细,35,QuadEdgeMeshFiltering,完成,默认模块编译,应用层,网格滤波(A代表),1.15×,1.15,1.15,0,代表值,默认Image<float>
Filtering子模块明细,36,Smoothing,完成,Gaussian/Median/Mean Example+pipeline bench,开关ON+ITK原生+应用层,RecursiveGaussian/Median/Mean/DiscreteGaussian/BoxMean,1.02–2.07×,1.02,2.07,0~1e-5,直接实测,优先RecursiveGaussian(~2.07×误差0)
Filtering子模块明细,37,SpatialFunction,完成,基类模块随Filtering编译,应用层,基类,—,,,—,基类,无独立加速比
Filtering子模块明细,38,Thresholding,完成,Otsu等Example+pipeline bench,应用层,Otsu(A),1.29–1.33×,1.29,1.33,0,直接实测,分割阈值类可放心float
